SALE TITLE,SESSION,HIP,COLOR,SEX,SIRE,DAM,SIRE OF DAM,PROPERTY LINE,PURCHASER,PRICE,PRIVATE SALE,YEAR OF BIRTH,FOALED,BARN,COVER DATE,SOLD AS DESCRIPTION,VIRTUAL INSPECTION
The Saratoga Sale (2021),,1,DKB,C,EMPIRE MAKER,TACKING,MIZZEN MAST,BLAKE-ALBINA THOROUGHBRED SERVICES LLC AGENT II,,,,03/21/2020,KENTUCKY,10,,,
The Saratoga Sale (2021),,2,DKB,C,BOLT D'ORO,TAKE A MEMO,EMPIRE MAKER,FOUR STAR SALES AGENT,,,,02/27/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,3,B,C,BOLT D'ORO,TARQUINIA,SPEIGHTSTOWN,BLUEWATER SALES LLC AGENT I,,,,02/20/2020,NEW YORK,4,,,
The Saratoga Sale (2021),,4,CH,F,CANDY RIDE (ARG),TEMPERS FLAIR,SMART STRIKE,TAYLOR MADE SALES AGENCY AGENT XXX,,,,03/25/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,5,GRR,C,INTO MISCHIEF,TENSION,TAPIT,WOODFORD THOROUGHBREDS AGENT I,,,,04/28/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,6,B,C,MENDELSSOHN,TESSIE FLIP,GRAND SLAM,PARAMOUNT SALES AGENT VIII,,,,04/05/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,7,DKB,F,CANDY RIDE (ARG),THE CAT'S REACH,BERNSTEIN,LANE'S END AGENT,,,,02/01/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,8,DKB,F,MUNNINGS,THE SCHVAGEN,MATTY G,BUCK POND FARM (DOUGLAS S. ARNOLD) AGENT,,,,03/02/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,9,DKB,C,PIONEEROF THE NILE,TIZNOW'S SMILE,TIZNOW,EATON SALES AGENT FOR RELENTLESS RACING LLC,,,,01/21/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,10,CH,C,JUSTIFY,TOGETHER (IRE),GALILEO (IRE),HILL 'N' DALE SALES AGENCY AGENT,,,,05/02/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,11,GRR,C,ARROGATE,TOO MUCH MALIBU,MALIBU MOON,MILL RIDGE SALES AGENT,,,,03/15/2020,PENNSYLVANIA,5,,,
The Saratoga Sale (2021),,12,CH,C,CONNECT,TOUCH OF GRACE,TIZNOW,ST GEORGE SALES AGENT IV,,,,01/24/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,13,B,C,QUALITY ROAD,TREASURE,MEDAGLIA D'ORO,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,03/17/2020,KENTUCKY,4,,,
The Saratoga Sale (2021),,14,DKB,C,GOOD MAGIC,TROPHY GIRL,WARRIOR'S REWARD,EATON SALES AGENT,,,,02/19/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,15,B,C,QUALITY ROAD,UNBRIDLED MO,UNCLE MO,HUNTER VALLEY FARM AGENT,,,,03/18/2020,KENTUCKY,2,,,
The Saratoga Sale (2021),,16,DKB,C,TWIRLING CANDY,UNBRIDLED QUEST,UNBRIDLED'S SONG,MACHMER HALL SALES AGENT FOR MACHMER HALL/TAMME VALLEY FARM LLC/BLUE HORSE HOLDINGS,,,,03/25/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,17,GRR,C,FROSTED,UNHEDGED,BROKEN VOW,FOUR STAR SALES AGENT FOR WESTBURY STABLES,,,,01/29/2020,FLORIDA,7C,,,
The Saratoga Sale (2021),,18,CH,C,GOOD MAGIC,UNREACHABLE,GIANT'S CAUSEWAY,CARA BLOODSTOCK AGENT FOR SAINTSBURY FARMS INC. (JAY & CHRISTINE HAYDEN),,,,02/10/2020,ONTARIO,2,,,
The Saratoga Sale (2021),,19,DKB,C,UNCLE MO,UPTOWN TWIRL,TWIRLING CANDY,FOUR STAR SALES AGENT,,,,03/21/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,20,B,F,MORE THAN READY,VERDAD,STREET CRY (IRE),ST GEORGE SALES AGENT VI,,,,05/04/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,21,B,F,INTO MISCHIEF,VERTICAL VISION,POLLARD'S VISION,DENALI STUD AGENT III,,,,02/10/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,22,DKB,F,MEDAGLIA D'ORO,VULCAN ROSE,FUSAICHI PEGASUS,SUSAN Y. FOREMAN AGENT,,,,02/16/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,23,DKB,C,CONSTITUTION,WELCOME SPEECH,HENRYTHENAVIGATOR,GAINESWAY AGENT VII,,,,03/29/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,24,CH,C,GUN RUNNER,WEMBLEY,BERNARDINI,SOUTH POINT SALES AGENCY AGENT,,,,02/07/2020,PENNSYLVANIA,8,,,
The Saratoga Sale (2021),,25,CH,F,NYQUIST,WESTSIDE TAPSTRESS,LOOKIN AT LUCKY,WARRENDALE SALES AGENT IV,,,,02/17/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,26,DKB,C,FLATTER,WHISPER TO ME,THUNDER GULCH,DENALI STUD AGENT VI,,,,03/30/2020,KENTUCKY,7A,,,
The Saratoga Sale (2021),,27,DKB,F,OSCAR PERFORMANCE,WILD SILK,STREET SENSE,MILL RIDGE SALES AGENT,,,,03/04/2020,KENTUCKY,5,,,
The Saratoga Sale (2021),,28,B,F,INTO MISCHIEF,WINTER,AWESOME AGAIN,TAYLOR MADE SALES AGENCY AGENT FOR ANN MUDGE BACKER/SMITTEN FARM,,,,04/07/2020,VIRGINIA,7B,,,
The Saratoga Sale (2021),,29,B,F,INTO MISCHIEF,YOU CRACK ME UP,DISTORTED HUMOR,PARAMOUNT SALES AGENT XII,,,,05/01/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,30,B,F,HONOR CODE,YOU MAKE ME SING,UNBRIDLED'S SONG,WARRENDALE SALES AGENT I,,,,04/24/2020,KENTUCKY,1,,,
The Saratoga Sale (2021),,31,B,C,INTO MISCHIEF,ZAPARA,NOT FOR LOVE,ST GEORGE SALES AGENT V,,,,05/12/2020,KENTUCKY,8,,,
The Saratoga Sale (2021),,33,B,C,CITY OF LIGHT,ADORABLE MISS,KITTEN'S JOY,LANE'S END AGENT,,,,04/01/2020,KENTUCKY,7C,,,
The Saratoga Sale (2021),,34,DKB,C,NYQUIST,AFLEETING LISA,AFLEET ALEX,GAINESWAY AGENT VII,,,,04/22/2020,KENTUCKY,6,,,
The Saratoga Sale (2021),,35,B,F,STREET SENSE,AGAVE KISS,LION HEART,TAYLOR MADE SALES AGENCY AGENT FOR TOWN & COUNTRY HORSE FARMS LLC,,,,03/18/2020,KENTUCKY,7B,,,
The Saratoga Sale (2021),,36,DKB,C,WAR FRONT,AGREEABLE MISS,SPEIGHTSTOWN,EATON SALES AGENT,,,,04/19/2020,KENTUCKY,9,,,
The Saratoga Sale (2021),,37,CH,F,LORD NELSON,AIRS,HARLAN'S HOLIDAY,VINERY SALES AGENT FOR SPENDTHRIFT FARM LLC,,,,03/11/2020,KENTUCKY,3,,,
The Saratoga Sale (2021),,38,B,C,INTO MISCHIEF,ALONG (IRE),SMART STRIKE,LANE'S END AGENT,,,,02/12/2020,KENTUCKY,7C,,,
