"2021 Great Southern Broodmare Sale"
"Oaklands Junction - 5 July 2021"



Lot,Col,Sex,Name,Vendor,Sire,Dam,Purchaser,"Purchaser Location",Price,"Stable 1","Stable 2","Stable 3","Covering Stallion",DOB
409,Gr.,Mare,"I Spy","Daisy Hill, Doreen",Zoustar,Dushanbe,"Grenville Stud / Belmont Bloodstock (FBAA)",TAS,"$18,000","Barn F","Stable 77",,,08/10/2016
410,Ch.,Mare(+),"In Other Words","Bowness Stud, Young, NSW","Henny Hughes (USA)",Verbose,"Passed in - $ 20,000",,,"Barn C","Stables 39-53",,D'Argento,16/10/2010
411,B.,Mare(+),Kariya,"Blue Gum Farm, Euroa","All Too Hard","Isla Canela (USA)","Independent Stallions Pty Ltd",VIC,"$38,000","Barn A","Stables 66,67",,"Toronado (IRE)",01/09/2014
412,B.,Mare(+),"Keep Looking","Kehigh Developments, Wagga Wagga, NSW",Stratum,Watchme,"Arcadia Bloodstock",NSW,"$1,500","Barn F","Stable 67",,Denman,02/09/2013
413,B.,Filly,"Kensington Avenue","Rushton Park, Tatura","Shooting to Win","Wynnstay Avenue",Withdrawn,,Withdrawn,"Barn F","Stable 37",,,08/08/2017
414,Gr.,Mare,"Kentucky Tornado (USA)","Sullivan Bloodstock, Arcadia","Mizzen Mast (USA)","Somerset West (USA)",Withdrawn,,Withdrawn,"Barn G","Stables 92-98",,,11/04/2015
415,Ch.,Mare,Kerr,"Ponderosa Park, Nathalia",Stratum,"Malagra Miss",Withdrawn,,Withdrawn,"Barn G","Stables 89-91",,Capitalist,28/08/2010
416,Ch.,Mare,Keysbrook,"Erinvale Thoroughbreds, Buckley","So Secret",Interlagos,Withdrawn,,Withdrawn,"Barn B","Stables 18-25",,"Lean Mean Machine",01/11/2011
417,Br.,Mare,"La Muse","Merricks Station, Merricks",Snitzel,Kaystar,"Manson Place Bloodstck",NSW,"$52,000","Barn D","Stables 36-39,54",,,05/09/2011
418,"B. or Br.",Mare(+),"La Musicienne","Osborne Racing, Kyneton","Amadeus Wolf (GB)",Hafla,"Passed in - $ 6,000",,,"Barn E","Stables 63-65",,"Royal Meeting (IRE)",08/09/2011
419,B.,Mare(+),"Lady Sol (NZ)","Blue Gum Farm, Euroa","Nom du Jeu (NZ)","Stareel (NZ)","Passed in - $ 120,000",,,"Barn A","Stables 66,67",,"The Autumn Sun",16/09/2011
420,Br.,Mare,"Le Ciel","Stonehouse Thoroughbreds, Eddington","All Too Hard","Sacred Choice",Withdrawn,,Withdrawn,"Barn G","Stables 18-22,25-33",,"Cable Bay (IRE)",14/08/2016
421,Gr.,Mare(+),"Lily's Reward","Supreme Thoroughbreds, Romsey","Reward for Effort",Kritisk,"Passed in - $ 45,000",,,"Barn A","Stables 58-62",,Frosted,15/09/2013
422,B.,Mare(+),"Lost Diamond (GB)","Stonehouse Thoroughbreds, Eddington","Dubawi (IRE)","Lurina (IRE)","Beaufort Downs Ltd","NEW ZEALAND","$180,000","Barn G","Stables 18-22,25-33",,Capitalist,22/04/2014
423,Br.,Mare,"Loves Attention","Esker Lodge Australia, Beremboke","Taimazov (ARG)","Party Miss","Kelly Investment Trust",VIC,"$5,000","Barn E","Stables 43-46",,"Toronado (IRE)",06/10/2006
424,Br.,Mare(+),"Madam Gangster","Widden Stud, Riddells Creek","Al Maher","Domino Effect","Hirsch Racing Trust",VIC,"$105,000","Barn G","Stables 9-17",,Palentino,29/08/2010
425,B.,Mare(+),"Madam Stryker","Stonehouse Thoroughbreds, Eddington",Stryker,Stagerush,"Crystal Ball Bloodstock",NSW,"$85,000","Barn G","Stables 18-22,25-33",,Capitalist,04/09/2013
426,Br.,Mare,Manilenya,"J. Richards, Roches Beach, Tas","High Chaparral (IRE)",Jaja,"Passed in - $ 40,000",,,"Barn F","Stable 75",,,24/09/2013
427,B.,Mare(+),"Margie 'n' Me","Bowness Stud, Young, NSW","Star Witness",Mesh,"Passed in - $ 10,000",,,"Barn C","Stables 39-53",,D'Argento,15/10/2013
428,Ch.,Mare,"Mariners Joy","Oakford Thoroughbred Farm, Maldon","Dehere (USA)","Mary Marvel","Passed in - $ 1,500",,,"Barn C","Stables 107-112",,Nostradamus,26/09/2007
429,B.,Mare,"Miss Elena","Griffiths Training, Cranbourne","Toronado (IRE)",Pontington,"Peter Ford Thoroughbreds (FBAA)",VIC,"$35,000","Barn C","Stables 66-70",,,03/10/2016
430,B.,Mare,"Miss Iguacu","Glentree Thoroughbreds, Modewarre","Encosta de Lago","River Song",Withdrawn,,Withdrawn,"Barn D","Stables 34,35",,"The Autumn Sun",15/10/2009
431,Ch.,Filly,"Miss Kansas","Griffiths Training, Cranbourne","Toronado (IRE)",Longing,"Oakleigh Bloodstock",VIC,"$1,500","Barn C","Stables 66-70",,,08/10/2017
432,B.,Mare(+),Misstiflying,"Bowness Stud, Young, NSW","Flying Spur","Miss Pageantry","S Chan","HONG KONG","$6,500","Barn C","Stables 39-53",,D'Argento,19/10/2010
433,Br.,Mare,"Music of the Night","Epsom Lodge, Mornington",Pierro,"Moonlight Music","Tim Stewart & Associates Pty Ltd",VIC,"$75,000","Barn A","Stable 64",,,24/10/2014
434,"B. or Br.",Mare(+),"Mystic Cloud","Rangal Park Stud, Euroa (Dispersal Sale)","Brazen Beau","Magical Slice","B Marsh",VIC,"$1,000","Barn C","Stables 104-106",,"Soul Patch",14/09/2016
435,B.,Mare(+),Nadawaat,"Bowness Stud, Young, NSW","More Than Ready (USA)",Maraaseem,"S Chan","HONG KONG","$4,000","Barn C","Stables 39-53",,D'Argento,21/10/2012
436,B.,Mare(+),"Nicky Nocky","Oakford Thoroughbred Farm, Maldon",Falvelon,"Music Home (FR)","Passed in - $ 10,000",,,"Barn C","Stables 107-112",,Ilovethiscity,10/10/2009
437,Ch.,Mare,"Night Angel","Oakford Thoroughbred Farm, Maldon","Street Boss (USA)",Svetlana,Withdrawn,,Withdrawn,"Barn C","Stables 107-112",,Nostradamus,30/08/2013
438,B.,Mare(+),"No Concerns","Bowness Stud, Young, NSW","Not a Single Doubt",Cabinda,"S Chan","HONG KONG","$5,000","Barn C","Stables 39-53",,"Super One",08/09/2012
439,"B. or Br.",Mare(+),"No Greater Love","Shadow Hill Thoroughbreds, Avenel","So You Think (NZ)","Show Me Love","Passed in - $ 70,000",,,"Barn A","Stable 23",,"Puissance de Lune (IRE)",17/08/2014
440,B.,Mare(+),"No Manners","Ridgeview Park, Muskerry","Bel Esprit",Dandify,"Passed in - $ 15,000",,,"Barn E","Stable 66",,Magnus,12/10/2008
441,Ch.,Mare(+),"Norma Stars","Rangal Park Stud, Euroa (Dispersal Sale)",Zoustar,"Sister Norma","Group 1 Bloodstock (FBAA) / Ridgeport Farm",WA,"$2,000","Barn C","Stables 104-106",,"Cliff's Edge",07/08/2016
442,Gr.,Mare,"Our Emily Mia","Glastonbury Farms, Scone, NSW",Reset,"Our Heather (NZ)","Hall of Fame Bloodstock Pty Ltd",QLD,"$5,000","Barn C","Stables 9-11",,Impending,21/11/2008
443,Br.,Mare,Personable,"Erinvale Thoroughbreds, Buckley",Lonhro,Personification,Withdrawn,,Withdrawn,"Barn B","Stables 18-25",,"Royal Meeting (IRE)",23/08/2013
444,B.,Mare(+),"Pierro Rock","Chatswood Stud, Seymour",Pierro,"Twelve Oclock Rock (NZ)","B Buyer",VIC,"$2,000","Barn F","Stable 81",,"Reward for Effort",20/08/2015
445,B.,Mare,"Pleats (FR)","Fulmen Park, Moorooduc","Green Desert (USA)","Lady Bex (IRE)",Withdrawn,,Withdrawn,"Barn F","Stable 83",,Sepoy,01/02/2006
446,B.,Mare(+),"Pontivy (NZ)","Stonehouse Thoroughbreds, Eddington","Tavistock (NZ)","Belle de Jeu (NZ)","Supreme Thoroughbreds Pty Ltd",VIC,"$80,000","Barn G","Stables 18-22,25-33",,Nicconi,12/09/2016
447,B.,Mare,Prism,"Sullivan Bloodstock, Arcadia","All Too Hard",Belscenica,Withdrawn,,Withdrawn,"Barn G","Stables 92-98",,,31/08/2015
448,"B. or Br.",Mare(+),"Ra Ra Epic","Bhima Thoroughbreds, Scone, NSW",Drumbeats,"Miss Argyle","Merricks Station / Group 1 Bloodstock (FBAA)",VIC,"$200,000","Barn D","Stables 23-26",,"Yes Yes Yes",14/10/2012
449,B.,Mare(+),"Realise the Dream","Rosemont Stud, Gnarwarre","More Than Ready (USA)",Amarazetti,"Peppercorn Lodge ",VIC,"$5,000","Barn D","Stables 85,86",,Starspangledbanner,26/09/2012
450,"B. or Br.",Mare,"Rekindled Glory","Bhima Thoroughbreds, Scone, NSW","Redoute's Choice","Rekindled Affair (IRE)",Withdrawn,,Withdrawn,"Barn D","Stables 23-26",,"Ocean Park (NZ)",13/10/2009
451,Gr.,Mare,"Respect Me (NZ)","Supreme Thoroughbreds, Romsey","Handsome Ransom","Tarred n' Gold (NZ)","Passed in - $ 2,000",,,"Barn A","Stables 58-62",,,27/10/2009
452,Ch.,Mare(+),"Role Reversal (GB)","Widden Stud, Riddells Creek","Shamardal (USA)","Miss Hepburn (USA)","Group 1 Bloodstock (FBAA) / Ridgeport Farm",WA,"$25,000","Barn G","Stables 9-17",,Palentino,13/03/2011
453,Br.,Mare,"Rowdy Belle","Erinvale Thoroughbreds, Buckley","Bel Esprit",Quiet,Withdrawn,,Withdrawn,"Barn B","Stables 18-25",,"Lean Mean Machine",01/09/2010
454,B.,Mare(+),"Ruud As (NZ)","Stonehouse Thoroughbreds, Eddington",Savabeel,"Ruud Van Slaats (NZ)","Wall St Thoroughbreds",NSW,"$95,000","Barn G","Stables 18-22,25-33",,"Ocean Park (NZ)",25/08/2016
455,B.,Mare,"Salty Kisses","Osborne Racing, Kyneton",Duporth,Maktima,"Larneuk Stud Pty Ltd",VIC,"$1,000","Barn E","Stables 63-65",,,25/10/2014
456,Ch.,Mare(+),"Sea Horse","Ponderosa Park, Nathalia",Delzao,"Sing Hallelujah","Crystal Ball Bloodstock",NSW,"$40,000","Barn G","Stables 89-91",,"Frosted (USA)",26/08/2009
457,B.,Mare(+),"Secret Morning","Sullivan Bloodstock, Arcadia",Delzao,Prayerful,"Passed in - $ 70,000",,,"Barn G","Stables 92-98",,"Frosted (USA)",06/11/2011
458,B.,Mare(+),Shoepeg,"Leneva Park, Longwood","Bernardini (USA)","Sweet Corn","Yabby Dam Farms Pty Ltd",VIC,"$105,000","Barn F","Stable 54",,Lonhro,10/08/2012
459,Ch.,Mare,"Singular Sensation","Erinvale Thoroughbreds, Buckley","Not A Single Doubt",Tiffin,Withdrawn,,Withdrawn,"Barn B","Stables 18-25",,"Royal Meeting (IRE)",15/09/2015
460,B.,Mare(+),"Sky Princess","Sullivan Bloodstock, Arcadia","Street Sense (USA)","Versailles Pike","E A Taylor",VIC,"$18,000","Barn G","Stables 92-98",,"Alabama Express",21/09/2009
461,"B. or Br.",Mare,"Skyway Star","Stonehouse Thoroughbreds, Eddington","Americain (USA)","Lorna's Lass","C R & K M Mahoney",TAS,"$10,000","Barn G","Stables 18-22,25-33",,,29/09/2015
462,B.,Mare,"So You Swing","Ellerton Zahra Racing, Melbourne","So You Think (NZ)","Swinging Feeling (NZ)","Robert Roulston Bloodstock Pty Ltd",VIC,"$30,000","Barn F","Stable 40",,,12/10/2015
