"Sale","Hip","Sire","Dam","Broodmare Sire","DOB","Area Foaled","Horse Name","Color","Sex","Breeders Cup Eligible","Covering Sire","Sold As","Consignor","Barn(s)","Session","Book","Out","Location"
"April 2021","0001","Twirling Candy","Speightstown Belle","Speightstown","02/13/2017","KY        ","Levelplayingfield","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0002","Cinco Charlie","Cactus Cocktail","Cactus Ridge","02/15/2018","KY        ","Lichita","Chestnut","Filly","","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent II ","18","1","1","","Keeneland",
"April 2021","0003","Galileo (IRE)","Look At Me (IRE)","Danehill Dancer (IRE)","04/07/2018","GB        ","Lupino (GB)","Bay","Colt","","","Racing Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0004","Acclamation (GB)","Mary's Precedent (FR)","Storming Home (GB)","05/03/2017","FR        ","Mary's France (FR)","Bay","Filly","Y","","Racing or Broodmare Prospect","ELiTE, Agent ","19","1","1","","Keeneland",
"April 2021","0005","Quality Road","Ben's Boots","Louis Quatorze","05/12/2017","KY        ","Maximiliano","Bay","Gelding","Y","","Racing Prospect","Hunter Valley Farm, Agent ","18","1","1","","Keeneland",
"April 2021","0006","Union Rags","Valued Strike","Smart Strike","04/01/2018","KY        ","Miracle Strike","Chestnut","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0007","Speightstown","Aerocat","Tale of the Cat","02/21/2018","FL        ","Mishpocha","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent I ","18","1","1","","Keeneland",
"April 2021","0008","Flatter","Maxinkuckee Miss","Langfuhr","02/09/2017","KY        ","Mylastfirstkiss","Chestnut","Filly","Y","","Racing or Broodmare Prospect","Buckland Sales (Zach Madden), Agent III ","18","1","1","","Keeneland",
"April 2021","0009","Flintshire (GB)","Leavingiswinning","Unbridled's Song","04/10/2018","KY        ","Not Shy","Bay","Filly","Y","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","","Keeneland",
"April 2021","0010","Will Take Charge","Garden District","Dixie Union","03/12/2019","KY        ","Offaly Fast","Dark Bay/Brown","Filly","","","Racing Prospect","Niall Collum, Agent ","5","1","1","","Keeneland",
"April 2021","0011","Tale of the Cat","One True Love (IRE)","Duke of Marmalade (IRE)","03/09/2018","KY        ","On Brilliant","Dark Bay/Brown","Filly","Y","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0012","Malibu Moon","Samsational","Unbridled's Song","02/19/2018","KY        ","Pandia","Chestnut","Filly","","","Racing or Broodmare Prospect","Mill Ridge Sales, Agent ","18","1","1","Y","Keeneland",
"April 2021","0013","Pedro the Great","Palma Nova (GER)","Tiger Hill (IRE)","04/25/2016","FR        ","Proud Pedro (FR)","Bay","Horse","","","Racing or Stallion Prospect","ELiTE, Agent ","","1","1","Y","Santa Anita",
"April 2021","0014","Frosted","Precious Stone (IRE)","Galileo (IRE)","04/30/2018","GB        ","Pure Fashion (GB)","Gray/Roan","Filly","","","Racing or Broodmare Prospect","Taylor Made Sales Agency, Agent III ","15","1","1","","Keeneland",
"April 2021","0015","Elusive Quality","My Lucky Shoes","Unbridled's Song","03/31/2016","KY        ","Quality Step","Bay","Gelding","","","Racing Prospect","ELiTE, Agent ","19","1","1","Y","Keeneland",
"April 2021","0016","First Samurai","Saintly Sister","Saint Liam","04/25/2015","KY        ","Saintly Samurai","Dark Bay/Brown","Gelding","Y","","Racing Prospect","Stone Farm ","19","1","1","Y","Keeneland",
"April 2021","0017","Divining Rod","Easy Mover","Outflanker","03/18/2019","MD        ","Saratoga Karen","Dark Bay/Brown","Filly","","","Racing Prospect","Relentless Racing Inc. ","19","1","1","Y","Keeneland",
